Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Intervention-mod,Location-Building,Location-Shelf,Class,Subclass,Subclass1,Bookplate,Local interest,pub year,Decade,location code,lang code,Language,pub city,publisher,subjects,title2
BMC-BR-0001,BR45 .B3 1866,"The divinity of our Lord and Saviour Jesus Christ : eight lectures preached before the University of Oxford in the year 1866, on the foundation of the late Rev. John Bampton, M.A., canon of Salisbury ",3.1796E+13,,,,,,1885,"Liddon, H. P. 1829-1890. (Henry Parry),",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1885,1880,enk,eng,English,London ,"Rivingtons,",,"The divinity of our Lord and Saviour Jesus Christ :eight lectures preached before the University of Oxford in the year 1866, on the foundation of the late Rev. John Bampton, M.A., canon of Salisbury /"
BMC-BR-0002,BR45 .B3 1891,The incarnation of the Son of God,3.17961E+13,,,,,,1891,"Gore, Charles, 1853-1932.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1891,1890,enk,eng,English,London ,"Murray,",Incarnation.,The incarnation of the Son of God 
BMC-BR-0003,BR45 .B3 1903,"The influence of Christianity upon national character, illustrated by the lives and legends of the English saints; being the Bampton lectures preached before the University of Oxford in the year 1903,",3.1796E+13,,,,,,1903,"Hutton, William Holden, 1860-1930.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1903,1900,nyu,eng,English,New York ,"Dutton,",Saints; England.,"The influence of Christianity upon national character,illustrated by the lives and legends of the English saints; being the Bampton lectures preached before the University of Oxford in the year 1903,"
BMC-BR-0004,"BR45 .T4 v.22, pt.3","Eusebius Kirchengeschichte, Buch VI und VII;",3.1796E+13,,,,,,1902,"Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,","Church history; Primitive and early church, ca. 30-600.","Eusebius Kirchengeschichte, Buch VI und VII;"
BMC-BR-0005,"BR45 .T4 v.23, pt.1","Komposition und Entstehungszeit der Oracula sibyllina,",3.1796E+13,,,,,,1902,"Geffcken, Johannes, 1861-1935.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1902,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,",,"Komposition und Entstehungszeit der Oracula sibyllina,"
BMC-BR-0006,"BR45 .T4 v.32, pt.1",Der erste Clemensbrief in altkoptischer Übersetzung ,3.1796E+13,,,,,,1908,"Clement I, Pope.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1908,1900,   ,ger,German,Leipzig ,"J. C. Hinrichs,",,Der erste Clemensbrief in altkoptischer Übersetzung /
BMC-BR-0007,BR45.T62 T5,"Tertullian's treatises : Concerning prayer, Concerning baptism ",3.1796E+13,,,,,,1919,"Tertullian, approximately 160-approximately 230.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1919,1910,enk,eng,English,London ,Society for Promoting Christian Knowledge ;,,"Tertullian's treatises :Concerning prayer, Concerning baptism /"
BMC-BR-0008,BR50 .S98,"Essays on some theological questions of the day,",3.1796E+13,,,,,,1905,"Swete, Henry Barclay, 1835-1917 ed.",None,None,Canaday Library,Stacks (Monographs),"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1905,1900,enk,eng,English,London ,"Macmillan and co., limited;","Christianity.| Theology, Doctrinal.","Essays on some theological questions of the day,"
BMC-BR-0009,BR60 .A4 v.1,The writings of the Apostolic fathers ,3.1796E+13,,,,,,1873,,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1873,1870,stk,eng,English,Edinburgh ,"T. & T. Clark,","Christian literature, Early.",The writings of the Apostolic fathers /
BMC-BR-0010,BR60 .A4 v.10,Writings of Origen ,3.1796E+13," 2 versions of the same v 10, neither have matching barcode but cop.2 is close",B_Images/BMC-BR-0010.Image_barcode.173552.jpg,,,,1871-72.,Origen.,None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1871,1870,stk,   ,,"Edin.,",,,Writings of Origen /
BMC-BR-0011,BR60 .A4 v.14,"The writings of Methodius, Alexander of Lycopolis, Peter of Alexandria, and several fragments.",3.1796E+13,,,,,,1869,"Methodius, of Olympus, Saint, -311.",None,BMC marks or bookplate,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,"Francis R. Cope, esq.",,1869,1860,stk,eng,English,Edinburgh ,"T. & T. Clark,","Christian literature, Early.","The writings of Methodius, Alexander of Lycopolis, Peter of Alexandria, and several fragments."
BMC-BR-0012,BR60 .A4 v.16,Apocryphal gospels : acts & revelations.,3.1796E+13,,,,,,1870,"Walker, Alexander tr.",None,None,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1870,1870,stk,eng,English,"Edin.,",,,Apocryphal gospels :acts & revelations.
BMC-BR-0013,BR60.A6 M35 v.81,"Patrologiae cursus completus : seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... ",3.1796E+13,,,,,,1856-,"Migne, J.-P. 1800-1875 ed. (Jacques-Paul),",Not on shelf,,Carpenter Library,Stacks,"B - Philosophy, psychology, religion",BR,BR - Christianity,,,1856,1850,fr ,lat,Latin,Parisiis ,"Migne,","Fathers of the church, Greek.| Christian literature, Early.","Patrologiae cursus completus :seu bibliotheca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque ecclesiasticorum, sive Latinorum, sive Graecorum, qui ab aevo apostolico ad aetatem Innocentii III (ann. 1216) pro occidentalibus, et ad Photii tempora (ann. 863) pro orientalibus, floruerunt ... /"
