Title,Year,Interventions,Subclass,Year2,Decade
Gerhard Tersteegens Auffassung von der Heiligung.,1969,FALSE,BV,1969,1960s
Erläuterungen zum Neuen Testamentum.,1900,FALSE,BS,1900,1900s
Erläuterungen zum Neuen Testamentum.,1900,FALSE,BS,1900,1900s
"The Tatler : or, Lucubrations of Isaac Bickerstaff [pseud.] .",1785,FALSE,PR,1785,1780s
"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /",1809,FALSE,BR,1809,1800s
"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /",1809,FALSE,BR,1809,1800s
The works of Samuel Richardson: With a sketch of his life and writings /,1811,FALSE,PR,1811,1810s
The works of Samuel Richardson: With a sketch of his life and writings /,1811,FALSE,PR,1811,1810s
"The plays of Philip Massinger, in four volumes; With notes critical and explanatory /",1813,FALSE,PR,1813,1810s
The works of Samuel Johnson /,1816,FALSE,PR,1816,1810s
The works of Samuel Johnson /,1816,FALSE,PR,1816,1810s
The works of Samuel Johnson /,1816,FALSE,PR,1816,1810s
"Plays and poems : with the corrections and illustrations of various commentators, comprehending a life of the poet & an enlarged history of the stage /",1821,FALSE,PR,1821,1820s
"Oriental literature applied to the illustration of the Sacred Scripture : especially with reference to antiquities, traditions, and manners : collected from the most celebrated writers and travellers, ancient and modern : designed as a sequel to Oriental customs /",1822,FALSE,BS,1822,1820s
The British poets : including translations.,1822,FALSE,PR,1822,1820s
Poetical works of Edmund Spenser in five volumes.,1825,FALSE,PR,1825,1820s
Poetical works of Edmund Spenser in five volumes.,1825,FALSE,PR,1825,1820s
The miscellaneous works of Joseph Addison.,1830,FALSE,PR,1830,1830s
Observations upon the prophecies of Daniel.,1831,FALSE,BS,1831,1830s
The harmony of the divine attributes in the contrivance and accomplishment of man's redemption /,1831,FALSE,BT,1831,1830s
The dramatic works of Robert Greene: to which are added his poems /,1831,FALSE,PR,1831,1830s
"Foreign conspiracy against the liberties of the United States : The numbers of Brutus, originally published in the New-York observer, /",1835,FALSE,E,1835,1830s
Sketches of the life and character of Patrick Henry.,1836,FALSE,E,1836,1830s
"A biographical memoir of the Rev. John Williams, first minister of Deerfield, Massachusetts: With a slight sketch of ancient Deerfield, and an account of the Indian wars in that place and vicinity. With an appendix, containing the journal of the Rev. Doctor Stephen Williams, of Longmeadow, during his captivity, and other papers relating to the early Indian wars in Deerfield /",1837,FALSE,E,1837,1830s
The confessions of S. Augustine /,1838,FALSE,BR,1838,1830s
The works /,1839,FALSE,PR,1839,1830s
The works of Beaumont and Fletcher /,1840,FALSE,PR,1840,1840s
The dramatic works of Massinger & Ford /,1840,FALSE,PR,1840,1840s
"An account of the life and writings of S. Irenaeus, bishop of Lyons and martyr: intended to illustrate the doctrine, discipline, practices, and history of the church, and the tenets and practices of the Gnostic heretics during the second century /",1841,FALSE,BR,1841,1840s
"The pastor and the prelate : or, Reformation and conformity ... with the answer of the common and chief objections against every part, showing whether of the two is to be followed by the true Christian and patriot /",1844,FALSE,BV,1844,1840s
The church history of Britain : from the birth of Jesus Christ until the year 1648 /,1845,FALSE,BR,1845,1840s
The church history of Britain : from the birth of Jesus Christ until the year 1648 /,1845,FALSE,BR,1845,1840s
"Essays on subjects connected with the literature, popular superstitions, and history of England in the Middle Ages /",1846,FALSE,PR,1846,1840s
"An account of discoveries in the West until 1519, and of voyages to and along the Atlantic coast of North America, from 1520 to 1573 : Prepared for ""The Virginia historical and philosophical society.""",1848,FALSE,E,1848,1840s
Dos diálogos escritos /,1850,FALSE,BR,1850,1850s
Dialogus miraculorum .../,1851,FALSE,BT,1851,1850s
"Hurry-graphs; or, Sketches of scenery, celebrities and society, taken from life.",1851,FALSE,PS,1851,1850s
"The comedies, histories, tragedies, and poems of William Shakspere, with a biography, and studies of his works /",1853,FALSE,PR,1853,1850s
"Rural letters and other records of thought at leisure, written in the intervals of more hurried literary labor.",1853,FALSE,PS,1853,1850s
Lives of the most eminent English poets with critical observations on their works /,1854,FALSE,PR,1854,1850s
Diary and letters of Madame D'Arblay /,1854,FALSE,PR,1854,1850s
"D. Philippi abbatis Bonæ Spei sacri ordinis Præmonstratensium auctoris disertissimi et D. Bernardo Clarævallensi contemporanei opera omnia juxta editionem quam anno 1621 in urbe Duacensi prelo subjecit Nicolaus Chamart, abbas Bonæ Spei /",1855,FALSE,BR,1855,1850s
