Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-DJ-0013,DJ411.M6 G7,Tweede eeuw-gedachtenis der Middelburgsche vryheid zoo in den godsdienst als burgerstaat of historische aaneenschakeling van gebeurtenisseen der stad Middelburg in Zeeland...,31796102138571,Bookplate 1944,B_Images/BMC-DJ-0013.Image_barcode.234413.jpg,B_Images/BMC-DJ-0013.Image_1.234351.jpg,,,1774.,"Gravezande, Adrianus 's, 1714-1787 comp.",No,Canaday Library,Stacks (Monographs),D,DJ,1770s,Dutch,NA,,
BMC-PR-0061,PR1361 .H3 v.3,"The Tatler : or, Lucubrations of Isaac Bickerstaff [pseud.] .",3.17961E+13,,,,,,1785,,No,Canaday Library,Stacks (Monographs),P,PR,1780s,English,enk,,
BMC-PR-0169,PR3301 .T5 1804 (vol. 4),Works ... /,3.1796E+13,,B_Images/BMC-PR-0169.Image_barcode.191425.jpg,B_Images/BMC-PR-0169.Image_1.191425.jpg,B_Images/BMC-PR-0169.Image_2.191425.jpg,B_Images/BMC-PR-0169.Image_3.191428.jpg,1804,"Addison, Joseph, 1672-1719.",Yes,Canaday Library,Stacks (Monographs),P,PR,1800s,English,enk,,
BMC-BS-0016,BS715 1806 (vol. 1),"Biblia Hebraica digessit, et graviores lectionum varietates",3.1796E+13,More newspaper clippings in book,B_Images/BMC-BS-0016.Image_barcode.195343.jpg,B_Images/BMC-BS-0016.Image_1.194741.jpg,B_Images/BMC-BS-0016.Image_2.195312.jpg,B_Images/BMC-BS-0016.Image_3.195325.jpg,1806,,Yes,Canaday Library,Stacks (Monographs),B,BS,1800s,Hebrew,au ,,
BMC-BR-0047,BR75 .H65 1809 (vol. 2),"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /",3.1796E+13,,,,,,1809,"Hopkins, Ezekiel, bp. of Derry, 1634-1690.",No,Canaday Library,Stacks (Monographs),B,BR,1800s,English,enk,,
BMC-BR-0048,BR75 .H65 1809 (vol. 3),"The works of the Right Reverend Father in God, Ezekiel Hopkins ... now first collected /",3.1796E+13,,,,,,1809,"Hopkins, Ezekiel, bp. of Derry, 1634-1690.",No,Canaday Library,Stacks (Monographs),B,BR,1800s,English,enk,,
BMC-PR-0118,PR2701 .G5 1813 (vol. 4),"The plays of Philip Massinger, in four volumes; With notes critical and explanatory /",3.1796E+13,,B_Images/BMC-PR-0118.Image_barcode.180159.jpg,B_Images/BMC-PR-0118.Image_1.180223.jpg,B_Images/BMC-PR-0118.Image_2.180353.jpg,,1813,"Massinger, Philip, 1583-1640.",Yes,Canaday Library,Stacks (Monographs),P,PR,1810s,English,enk,,
BMC-PR-0217,PR3661 .M2 1811 (vol. 11),The works of Samuel Richardson: With a sketch of his life and writings /,3.1796E+13,,,,,,1811,"Richardson, Samuel, 1689-1761.",No,Canaday Library,Stacks (Monographs),P,PR,1810s,NA,enk,,
BMC-PR-0218,PR3661 .M2 1811 (vol. 16),The works of Samuel Richardson: With a sketch of his life and writings /,3.1796E+13,,,,,,1811,"Richardson, Samuel, 1689-1761.",No,Canaday Library,Stacks (Monographs),P,PR,1810s,NA,enk,,
BMC-PR-0119,PR2701 .G5 1813 (vol. 1),"The plays of Philip Massinger, in four volumes; With notes critical and explanatory /",3.1796E+13,,,,,,1813,"Massinger, Philip, 1583-1640.",No,Canaday Library,Stacks (Monographs),P,PR,1810s,English,enk,,
